Date,TA,M,RB,FG,MA,HC,V,RM,AG
2014-06-17,201409,201409,201410,201409,201506,201410,201409,201409,201409
2014-06-18,201409,201409,201410,201409,201506,201410,201409,201409,201409
2014-06-19,201409,201409,201410,201409,201506,201410,201409,201409,201409
2014-06-20,201409,201409,201410,201409,201506,201410,201409,201409,201409
2014-06-23,201409,201409,201410,201409,201506,201410,201409,201409,201409
2014-06-24,201409,201409,201410,201409,201506,201410,201409,201409,201409
2014-06-25,201409,201409,201410,201409,201506,201410,201409,201409,201409
2014-06-26,201409,201409,201410,201409,201506,201410,201409,201409,201407
2014-06-27,201409,201409,201410,201409,201506,201410,201409,201409,201409
2014-06-30,201409,201409,201410,201409,201506,201410,201409,201409,201409
2014-07-01,201409,201409,201410,201409,201506,201410,201409,201409,201409
2014-07-02,201409,201409,201410,201409,201506,201410,201409,201409,201409
2014-07-03,201409,201409,201410,201409,201506,201410,201409,201409,201409
2014-07-04,201409,201409,201410,201409,201506,201410,201409,201409,201409
2014-07-07,201409,201409,201410,201409,201506,201410,201409,201409,201407
2014-07-08,201409,201409,201410,201409,201506,201410,201409,201409,201412
2014-07-09,201409,201409,201410,201409,201506,201410,201409,201409,201412
2014-07-10,201409,201409,201410,201409,201506,201410,201409,201409,201412
2014-07-11,201409,201409,201410,201409,201506,201410,201409,201409,201412
2014-07-14,201409,201409,201410,201409,201506,201410,201409,201409,201412
2014-07-15,201409,201409,201410,201409,201506,201410,201409,201409,201412
2014-07-16,201409,201409,201410,201409,201506,201410,201409,201409,201412
2014-07-17,201409,201409,201410,201409,201506,201410,201409,201409,201412
2014-07-18,201409,201409,201410,201409,201506,201410,201409,201409,201412
2014-07-21,201409,201501,201410,201409,201506,201410,201409,201409,201412
2014-07-22,201409,201501,201410,201409,201506,201410,201409,201409,201412
2014-07-23,201409,201501,201410,201409,201506,201410,201409,201409,201412
2014-07-24,201409,201501,201410,201409,201506,201410,201409,201409,201412
2014-07-25,201409,201501,201410,201409,201506,201410,201409,201409,201412
2014-07-28,201409,201501,201410,201409,201506,201410,201409,201409,201412
2014-07-29,201409,201501,201410,201409,201506,201410,201409,201409,201412
2014-07-30,201409,201501,201410,201409,201506,201410,201409,201409,201412
2014-07-31,201409,201501,201410,201409,201506,201410,201409,201409,201412
2014-08-01,201409,201501,201410,201409,201506,201410,201409,201409,201412
2014-08-04,201409,201501,201410,201409,201506,201410,201409,201409,201412
2014-08-05,201409,201501,201410,201409,201506,201410,201409,201409,201412
2014-08-06,201409,201501,201410,201409,201506,201410,201409,201409,201412
2014-08-07,201409,201501,201410,201501,201506,201410,201409,201409,201412
2014-08-08,201409,201501,201410,201501,201506,201410,201409,201409,201412
2014-08-11,201409,201501,201410,201501,201506,201410,201409,201409,201412
2014-08-12,201409,201501,201410,201501,201506,201410,201409,201409,201412
2014-08-13,201409,201501,201501,201501,201506,201410,201409,201501,201412
2014-08-14,201409,201501,201501,201501,201506,201410,201409,201501,201412
2014-08-15,201409,201501,201501,201501,201506,201410,201409,201501,201412
2014-08-18,201409,201501,201501,201501,201506,201410,201409,201501,201412
2014-08-19,201409,201501,201501,201501,201506,201410,201409,201501,201412
2014-08-20,201409,201501,201501,201501,201506,201410,201409,201501,201412
2014-08-21,201409,201501,201501,201501,201506,201410,201501,201501,201412
2014-08-22,201409,201501,201501,201501,201506,201410,201501,201501,201412
2014-08-25,201409,201501,201501,201501,201506,201410,201501,201501,201412
2014-08-26,201409,201501,201501,201501,201506,201410,201501,201501,201412
2014-08-27,201409,201501,201501,201501,201506,201410,201501,201501,201412
2014-08-28,201409,201501,201501,201501,201506,201410,201501,201501,201412
2014-08-29,201409,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-01,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-02,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-03,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-04,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-05,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-09,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-10,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-11,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-12,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-15,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-16,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-17,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-18,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-19,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-22,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-23,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-24,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-25,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-26,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-29,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-09-30,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-10-08,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-10-09,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-10-10,201501,201501,201501,201501,201506,201410,201501,201501,201412
2014-10-13,201501,201501,201501,201501,201506,201501,201501,201501,201412
2014-10-14,201501,201501,201501,201501,201506,201501,201501,201501,201412
2014-10-15,201501,201501,201501,201501,201506,201501,201501,201501,201412
2014-10-16,201501,201501,201501,201501,201506,201501,201501,201501,201412
2014-10-17,201501,201501,201501,201501,201506,201501,201501,201501,201412
2014-10-20,201501,201501,201501,201501,201506,201501,201501,201501,201412
2014-10-21,201501,201501,201501,201501,201506,201501,201501,201501,201412
2014-10-22,201501,201501,201501,201501,201506,201501,201501,201501,201412
2014-10-23,201501,201501,201501,201501,201506,201501,201501,201501,201412
2014-10-24,201501,201501,201501,201501,201506,201501,201501,201501,201412
2014-10-27,201501,201501,201501,201501,201506,201501,201501,201501,201412
